gap_index_n,c_n,c_n_plus_1,delta_c,log10_delta_c
545,735303161,735956161,653000,5.814913181275
546,735956161,737781025,1824864,6.261230503724
547,737781025,740255245,2474220,6.393438313134
548,740255245,740263057,7812,3.892762234616
549,740263057,742012813,1749756,6.242977491405
550,742012813,742749257,736444,5.867139728211
551,742749257,743310541,561284,5.749182662368
552,743310541,745534201,2223660,6.347068383894
553,745534201,745801849,267648,5.427564002466
554,745801849,747298021,1496172,6.174981522911
555,747298021,750796969,3498948,6.543937488216
556,750796969,751361285,564316,5.751522363956
557,751361285,751630057,268772,5.429384023017
558,751630057,753401069,1771012,6.248221503887
559,753401069,755174165,1773096,6.248732250063
560,755174165,756374957,1200792,6.079467785858
561,756374957,756949345,574388,5.759205358135
562,756949345,758726609,1777264,6.249751943971
563,758726609,758888045,161436,5.208000388242
564,758888045,759455393,567348,5.753849528238
565,759455393,761973589,2518196,6.401089529746
566,761973589,763091597,1118008,6.048444911192
567,763091597,764495953,1404356,6.147477214088
568,764495953,764876053,380100,5.579897869603
569,764876053,766662593,1786540,6.252012744347
570,766662593,767022485,359892,5.556172192876
571,767022485,767592865,570380,5.756164288860
572,767592865,768451217,858352,5.933665423406
573,768451217,770124505,1673288,6.223570696519
574,770124505,772660313,2535808,6.404116367626
575,772660313,774639865,1979552,6.296566914533
576,774639865,775200289,560424,5.748516725551
577,775200289,775773701,573412,5.758466777343
578,775773701,776437765,664064,5.822209937060
579,776437765,780039817,3602052,6.556549978098
580,780039817,780868037,828220,5.918145713711
581,780868037,781843969,975932,5.989419558390
582,781843969,783997901,2153932,6.333231988428
583,783997901,786274861,2276960,6.357355401308
584,786274861,786556429,281568,5.449583296020
585,786556429,788086205,1529776,6.184627843180
586,788086205,789899633,1813428,6.258500317113
587,789899633,791685989,1786356,6.251968013023
588,791685989,791715145,29156,4.464727941557
589,791715145,792265465,550320,5.740615296442
590,792265465,793532741,1267276,6.102871210166
591,793532741,794837437,1304696,6.115509330906
592,794837437,797413577,2576140,6.410969461007
593,797413577,797996585,583008,5.765674514162
594,797996585,799821373,1824788,6.261212416311
595,799821373,799993885,172512,5.236819310149
596,799993885,800576393,582508,5.765301894217
597,800576393,801648245,1071852,6.030134822651
598,801648245,803477201,1828956,6.262203257588
599,803477201,805308241,1831040,6.262697831789
600,805308241,805751393,443152,5.646552713670
601,805751393,808345145,2593752,6.413928448934
602,808345145,808930685,585540,5.767556568385
603,808930685,809805037,874352,5.941686307785
604,809805037,811529545,1724508,6.236665213402
605,811529545,811643269,113724,5.055852126672
606,811643269,814132573,2489304,6.396077936970
607,814132573,815325985,1193412,6.076790400449
608,815325985,816739769,1413784,6.150383062379
609,816739769,817170469,430700,5.634174871763
610,817170469,817328341,157872,5.198305110858
611,817328341,819940645,2612304,6.417023715421
612,819940645,821700217,1759572,6.245407042449
613,821700217,822557117,856900,5.932930142831
614,822557117,823551893,994776,5.997725298921
615,823551893,825177757,1625864,6.211084214985
616,825177757,825405653,227896,5.357736702569
617,825405653,825769361,363708,5.560752853757
618,825769361,827261497,1492136,6.173808408497
619,827261497,833659109,6397612,6.806017897616
620,833659109,833682125,23016,4.362029848882
621,833682125,834253745,571620,5.757107415601
622,834253745,835547245,1293500,6.111766433053
623,835547245,836892937,1345692,6.128945670581
624,836892937,837414449,521512,5.717264306001
625,837414449,839283737,1869288,6.271676218005
626,839283737,839536297,252560,5.402364568884
627,839536297,841155109,1618812,6.209196415088
628,841155109,842781493,1626384,6.211223093160
629,842781493,845434129,2652636,6.423677659316
630,845434129,845750761,316632,5.500554804150
631,845750761,847629325,1878564,6.273825995446
632,847629325,848090933,461608,5.664273326850
633,848090933,850751905,2660972,6.425040304724
634,850751905,851352605,600700,5.778657631947
635,851352605,851392705,40100,4.603144372620
636,851392705,853277521,1884816,6.275268959802
637,853277521,856688933,3411412,6.532934172800
638,856688933,857906125,1217192,6.085359089293
639,857906125,859363349,1457224,6.163526315316
640,859363349,859798133,434784,5.638273553723
641,859798133,859967081,168948,5.227753054980
642,859967081,861692225,1725144,6.236825352044
643,861692225,862646605,954380,5.979721329677
644,862646605,863588401,941796,5.973956841573
645,863588401,865330297,1741896,6.241022221869
646,865330297,865486661,156364,5.194136771735
647,865486661,868018157,2531496,6.403377245498
648,868018157,868624921,606764,5.783019805692
649,868624921,870148217,1523296,6.182784301679
650,870148217,871317889,1169672,6.068064093745
651,871317889,872053669,735780,5.866747978646
652,872053669,873961205,1907536,6.280472742933
653,873961205,875870825,1909620,6.280946954514
654,875870825,876716329,845504,5.927115666545
655,876716329,877326125,609796,5.785184571253
656,877326125,877782529,456404,5.659349441991
657,877782529,882477037,4694508,6.671590083486
658,882477037,882743117,266080,5.425012231875
659,882743117,884395933,1652816,6.218224508361
660,884395933,885457865,1061932,6.026096707922
661,885457865,886070693,612828,5.787338599914
662,886070693,888239977,2169284,6.336316413037
663,888239977,888790549,550572,5.740814121052
664,888790549,891514573,2724024,6.435210929607
665,891514573,894242765,2728192,6.435874931089
666,894242765,894858625,615860,5.789481997655
667,894858625,894892585,33960,4.530967681572
668,894892585,896824925,1932340,6.286083543991
669,896824925,897591925,767000,5.884795363949
670,897591925,898759349,1167424,6.067228617328
