gap_index_n,c_n,c_n_plus_1,delta_c,log10_delta_c,p_n,q_n,k_n,d_n,p_n_plus_1,q_n_plus_1,k_n_plus_1,d_n_plus_1
319,438150893,439339405,1188512,6.075003571009,8245,28431,1,2,5838,20131,1,1
320,439339405,440064109,724704,5.860160658411,5838,20131,1,1,8263,28493,3,2
321,440064109,440693653,629544,5.799026089153,8263,28493,3,2,5847,20162,2,1
322,440693653,441981493,1287840,6.109861910048,5847,20162,2,1,8281,28555,5,2
323,441981493,443408401,1426908,6.154395972848,8281,28555,5,2,5865,20224,4,1
324,443408401,444336985,928584,5.967821196268,5865,20224,4,1,8303,28631,1,2
325,444336985,446263645,1926660,6.284805080949,8303,28631,1,2,8321,28693,3,2
326,446263645,448112377,1848732,6.266873958559,8321,28693,3,2,5896,20331,1,1
327,448112377,448194473,82096,4.914321997311,5896,20331,1,1,8339,28755,5,2
328,448194473,449480069,1285596,6.109104512495,8339,28755,5,2,5905,20362,2,1
329,449480069,450566441,1086372,6.035978563635,5905,20362,2,1,8361,28831,1,2
330,450566441,450849845,283404,5.452405975642,8361,28831,1,2,5914,20393,3,1
331,450849845,452221705,1371860,6.137309793346,5914,20393,3,1,5923,20424,4,1
332,452221705,454450817,2229112,6.348131889817,5923,20424,4,1,8397,28955,5,2
